text,title,id,url
"Salt Lake City, often shortened to Salt Lake or SLC, is the capital and most populous city of the U. S. state of Utah. It is the seat of Salt Lake County, the most populous county in the state. The city is the core of the Salt Lake City metropolitan area, which had a population of 1,257,936 at the 2020 census. Salt Lake City is further situated within a larger metropolis known as the Salt Lake City–Ogden–Provo Combined Statistical Area, a corridor of contiguous urban and suburban development stretched along a 120-mile (190 km) segment of the Wasatch Front, comprising a population of 2,746,164 (as of 2021 estimates), making it the 22nd largest in the nation. With a population of 200,133 in 2020, it is the 117th most populous city in the United States. It is also the central core of the larger of only two major urban areas located within the Great Basin (the other being Reno, Nevada). Salt Lake City was founded on July 24, 1847, by early pioneer settlers led by Brigham Young who were seeking to escape persecution they had experienced while living farther east. The Mormon pioneers, as they would come to be known, entered a semi-arid valley and immediately began planning and building an extensive irrigation network which could feed the population and foster future growth. Salt Lake City's street grid system is based on a standard compass grid plan, with the southeast corner of Temple Square (the area containing the Salt Lake Temple in downtown Salt Lake City) serving as the origin of the Salt Lake meridian.",Salt Lake City,Q23337,https://en.wikipedia.org/wiki/Salt_Lake_City
"Most of the major television and radio stations are based in or near the city. The Salt Lake City metropolitan area is ranked as the 28th largest radio and 33rd largest television market in the United States. Print media include two major daily newspapers, The Salt Lake Tribune and the Deseret News (previously the Deseret Morning News). Other more specialized publications include Now Salt Lake, Salt Lake City Weekly (a weekly independent publication), Nuestro Mundo of the Spanish-speaking community, QSaltLake and The Pillar for the LGBT community. Other Spanish-language newspapers include El Estandar, Amigo Hispano (online only), and El Observador de Utah, which offers free residential delivery. There are a number of local magazines, such as Wasatch Journal (a quarterly magazine covering Utah's arts, culture, and outdoors), Utah Homes & Garden, Salt Lake Magazine (a bimonthly lifestyle magazine), CATALYST Magazine (a monthly environmental, health, arts and politics magazine), SLUG Magazine, an alternative underground music magazine. Utah Stories is a magazine that covers local issues, primarily focused on the Salt Lake Valley. KTVX 4 signed on the air as Utah's first television station in 1947 under the experimental callsign W6SIX, becoming the Mountain Time Zone's oldest and third-oldest west of the Mississippi.",Salt Lake City,Q23337,https://en.wikipedia.org/wiki/Salt_Lake_City
"Two examples are the 9th and 9th (at the intersection of 900 East and 900 South Streets) and 15th & 15th (at the intersection of 1500 East and 1500 South Streets) neighborhoods. These areas are home to foot-traffic friendly, amenities-based businesses such as art galleries, clothing retail, salons, restaurants and coffee shops. During the summer of 2007, 9th and 9th saw sidewalk and street improvements as well as an art installation by Troy Pillow of Seattle, Washington inspired by the 9 Muses of Greek myth, thanks in part to a monetary grant from Salt Lake City. Many of the homes in the valley date from pre–World War II times, and only a select few areas, such as Federal Heights and the East Bench, as well as the far west side, including parts of Rose Park and Glendale, have seen new home construction since the 1970s.= Climate Salt Lake City has a humid continental climate (Dsa), while western parts may experience a Mediterranean climate (Csa), as summers are dry and hot and winters are cold and wet, but rarely frigid. Late summer and early fall monsoonal activity can keep precipitation fairly consistent throughout the year aside from early to mid summer when rain is minimal. The temperature of the Salt Lake City area is mediated by its unique geography, generally keeping highs and lows from reaching extremes. The primary source of precipitation in Salt Lake City is massive storms that move in from the Pacific Ocean along the jet stream from October to May. In mid-to-late summer, when the jet stream retreats far to the north, precipitation mainly comes from afternoon thunderstorms caused by monsoon moisture moving up from the Gulf of California.",Salt Lake City,Q23337,https://en.wikipedia.org/wiki/Salt_Lake_City
"Salt Lake City has become a case of market saturation on the FM dial; one cannot go through more than about two frequencies on an FM radio tuner before encountering another broadcasting station. Several companies, most notably Millcreek Broadcasting and Simmons Media, have constructed broadcast towers on Humpy Peak in the Uinta Mountains to the east. These towers allow frequencies allocated to nearby mountain communities to be boosted by smaller, low-powered FM transmitters along the Wasatch Front. Main sights Salt Lake City is the headquarters of the LDS Church and has many LDS-related sites open to visitors. The most popular is Temple Square, which includes the Salt Lake Temple (not open to the general public) and visitor centers open to the public, free of charge. Temple Square includes the historic Salt Lake Tabernacle, home of the Mormon Tabernacle Choir, now called The Tabernacle Choir at Temple Square. The LDS Conference Center is north of Temple Square. The Family History Library, the world's largest genealogical library, is west of Temple Square.",Salt Lake City,Q23337,https://en.wikipedia.org/wiki/Salt_Lake_City
"One of the visions of Brigham Young and the early settlers was to create wide, spacious streets, which characterizes downtown. The grid pattern remains fairly intact in the city, except on the East Bench, where geography makes it impossible. The entire Salt Lake Valley is laid out on the same numbered grid system, although it becomes increasingly irregular further into the suburbs. Many streets carry both a name and a grid coordinate. Usually both can be used as an address. US-89 enters the city from the northwest, becomes 900 West Street through the northern part of the city, and then exits Salt Lake City as State Street (100 East).= Public transportation Salt Lake City's mass transit service is operated by the Utah Transit Authority (UTA) and includes a bus system, light rail, and a commuter rail line. Intercity services are provided by Amtrak and various intercity bus lines. These services are all interconnected at the Salt Lake City Intermodal Hub (Salt Lake Central Station), west of the city center.== Transit bus service =UTA's bus system extends throughout the Wasatch Front from Brigham City in the north to Santaquin in the south and as far west as Grantsville, as well as east to Park City.",Salt Lake City,Q23337,https://en.wikipedia.org/wiki/Salt_Lake_City
"The other conspirators crowded round to offer their support. Within moments, the group of five conspirators stabbed Caesar one by one. Caesar attempted to get away, but, being drenched by blood, he tripped and fell. According to Roman historian Eutropius, around 60 or more men participated in the assassination. Caesar was stabbed 23 times and died from the blood loss attributable to multiple stab wounds.== Leader of the Caesarians =In the turmoil surrounding the assassination, Antony escaped Rome dressed as a slave, fearing Caesar's death would be the start of a bloodbath among his supporters. When this did not occur, he soon returned to Rome. The conspirators, who styled themselves the Liberatores (""The Liberators""), had barricaded themselves on the Capitoline Hill for their own safety. Though they believed Caesar's death would restore the Republic, Caesar had been immensely popular with the Roman middle and lower classes, who became enraged upon learning a small group of aristocrats had killed their champion.",Mark Antony,Q51673,https://en.wikipedia.org/wiki/Mark_Antony
"Approached on his golden chair at the foot of the statue of Pompey, the conspirators attacked him with daggers. Whether he fell in silence, per Suetonius, or after reply to Brutus' appearance – kai su teknon? (""you too, child?"") –is variantly recorded. Between twenty-three and thirty-five wounds later, the dictator-for-life was dead.= Aftermath of the assassination The assassins seized the Capitoline hill after killing the dictator. They then summoned a public meeting in the Forum where they were coldly received by the population. They were also unable to fully secure the city, as Lepidus – Caesar's lieutenant in the dictatorship – moved troops from the Tiber Island into the city proper. Antony, the consul who escaped the assassination, urged an illogical compromise position in the Senate: Caesar was not declared a tyrant and the conspirators were not punished.",Julius Caesar,Q1048,https://en.wikipedia.org/wiki/Julius_Caesar
"At this, Caesar asks ""Et tu, Brute?"" (""And you, Brutus?""),concluding with ""Then fall, Caesar!""The conspirators attempt to demonstrate that they killed Caesar for the good of Rome, to prevent an autocrat. They prove this by not attempting to flee the scene. Brutus delivers an oration defending his actions, and for the moment, the crowd is on his side. However, Antony makes a subtle and eloquent speech over Caesar's corpse, beginning ""Friends, Romans, countrymen, lend me your ears!""He deftly turns public opinion against the assassins by manipulating the emotions of the common people, in contrast to the rational tone of Brutus's speech, yet there is a method in his rhetorical speech and gestures. Antony reminds the crowd of the good Caesar had done for Rome, his sympathy with the poor, and his refusal of the crown at the Lupercal, thus questioning Brutus's claim of Caesar's ambition; he shows Caesar's bloody, lifeless body to the crowd to have them shed tears and gain sympathy for their fallen hero; and he reads Caesar's will, in which every Roman citizen would receive 75 drachmas.",Julius Caesar (play),Q215750,https://en.wikipedia.org/wiki/Julius_Caesar_(play)
"With Caesar's increasingly monarchical and autocratic behaviour after the civil war, several senators who later called themselves liberatores (Liberators), plotted to assassinate him. Brutus took a leading role in the assassination, which was carried out successfully on the Ides of March (15 March) of 44 BC. In a settlement between the liberatores and the Caesarians, an amnesty was granted to the assassins while Caesar's acts were upheld for two years. Popular unrest forced Brutus and his brother-in-law, fellow assassin Gaius Cassius Longinus, to leave Rome in April 44. After a complex political realignment, Octavian – Caesar's adoptive son – made himself consul and, with his colleague, passed a law retroactively making Brutus and the other conspirators murderers. This led to a second civil war, in which Mark Antony and Octavian fought the liberatores led by Brutus and Cassius. The Caesarians decisively defeated the outnumbered armies of Brutus and Cassius at the two battles at Philippi in October 42. After the defeat, Brutus took his own life.",Marcus Junius Brutus,Q172248,https://en.wikipedia.org/wiki/Marcus_Junius_Brutus
"The Battle of Pharsalus was a brilliant victory for Caesar and in this and other campaigns, he destroyed all of the optimates leaders: Metellus Scipio, Cato the Younger, and Pompey's son, Gnaeus Pompeius. Pompey was murdered in Egypt in 48 BC. Caesar was now pre-eminent over Rome: in five years he held four consulships, two ordinary dictatorships, and two special dictatorships, one for perpetuity. He was murdered in 44 BC, on the Ides of March by the Liberatores.= Octavian and the Second Triumvirate Caesar's assassination caused political and social turmoil in Rome; the city was ruled by his friend and colleague, Marcus Antonius. Soon afterward, Octavius, whom Caesar adopted through his will, arrived in Rome. Octavian (historians regard Octavius as Octavian due to the Roman naming conventions) tried to align himself with the Caesarian faction. In 43 BC, along with Antony and Marcus Aemilius Lepidus, Caesar's best friend, he legally established the Second Triumvirate. Upon its formation, 130–300 senators were executed, and their property was confiscated, due to their supposed support for the Liberatores.",Ancient Rome,Q1747689,https://en.wikipedia.org/wiki/Ancient_Rome
